flight_id,departure_city,arrival_city,scheduled_departure,model,duration_mm,passengers,total_amount,RPK,PLF
136642,Анапа,Белгород,2017-01-30T09:25:00Z,Sukhoi Superjet-100,50.0,64,531000.00,40320,65.97938144329896907200
136807,Анапа,Белгород,2017-02-23T09:25:00Z,Sukhoi Superjet-100,50.0,68,531000.00,42840,70.10309278350515463900
136844,Анапа,Белгород,2017-02-28T09:25:00Z,Sukhoi Superjet-100,50.0,79,575100.00,49770,81.44329896907216494800
136887,Анапа,Белгород,2017-01-20T09:25:00Z,Sukhoi Superjet-100,50.0,78,595200.00,49140,80.41237113402061855700
136922,Анапа,Белгород,2017-02-11T09:25:00Z,Sukhoi Superjet-100,50.0,76,607800.00,47880,78.35051546391752577300
136620,Анапа,Белгород,2017-02-17T09:25:00Z,Sukhoi Superjet-100,50.0,79,613500.00,49770,81.44329896907216494800
136823,Анапа,Белгород,2017-02-05T09:25:00Z,Sukhoi Superjet-100,50.0,78,620400.00,49140,80.41237113402061855700
136888,Анапа,Белгород,2017-02-14T09:25:00Z,Sukhoi Superjet-100,50.0,79,626100.00,49770,81.44329896907216494800
136937,Анапа,Белгород,2017-01-03T09:25:00Z,Sukhoi Superjet-100,50.0,81,626100.00,51030,83.50515463917525773200
136678,Анапа,Белгород,2017-01-28T09:25:00Z,Sukhoi Superjet-100,50.0,80,631200.00,50400,82.47422680412371134000
136936,Анапа,Белгород,2017-01-02T09:25:00Z,Sukhoi Superjet-100,50.0,82,632400.00,51660,84.53608247422680412400
136645,Анапа,Белгород,2017-01-05T09:25:00Z,Sukhoi Superjet-100,50.0,82,633000.00,51660,84.53608247422680412400
136609,Анапа,Белгород,2017-01-08T09:25:00Z,Sukhoi Superjet-100,50.0,81,639300.00,51030,83.50515463917525773200
136767,Анапа,Белгород,2017-01-23T09:25:00Z,Sukhoi Superjet-100,50.0,83,651300.00,52290,85.56701030927835051500
136666,Анапа,Белгород,2017-02-09T09:25:00Z,Sukhoi Superjet-100,50.0,87,664500.00,54810,89.69072164948453608200
136838,Анапа,Белгород,2017-01-24T09:25:00Z,Sukhoi Superjet-100,50.0,86,670200.00,54180,88.65979381443298969100
136660,Анапа,Белгород,2017-02-20T09:25:00Z,Sukhoi Superjet-100,50.0,87,677100.00,54810,89.69072164948453608200
136861,Анапа,Белгород,2017-02-12T09:25:00Z,Sukhoi Superjet-100,50.0,87,689100.00,54810,89.69072164948453608200
136709,Анапа,Белгород,2017-01-15T09:25:00Z,Sukhoi Superjet-100,50.0,87,689700.00,54810,89.69072164948453608200
136729,Анапа,Белгород,2017-01-29T09:25:00Z,Sukhoi Superjet-100,50.0,88,695400.00,55440,90.72164948453608247400
136769,Анапа,Белгород,2017-02-10T09:25:00Z,Sukhoi Superjet-100,50.0,88,696000.00,55440,90.72164948453608247400
136855,Анапа,Белгород,2017-01-11T09:25:00Z,Sukhoi Superjet-100,50.0,87,702300.00,54810,89.69072164948453608200
136464,Анапа,Москва,2017-01-09T10:05:00Z,Boeing 737-300,100.0,100,1398000.00,122000,76.92307692307692307700
136250,Анапа,Москва,2017-02-08T10:05:00Z,Boeing 737-300,100.0,99,1407800.00,120780,76.15384615384615384600
136122,Анапа,Москва,2017-01-08T10:05:00Z,Boeing 737-300,100.0,97,1431000.00,118340,74.61538461538461538500
136178,Анапа,Москва,2017-01-29T10:05:00Z,Boeing 737-300,100.0,99,1434600.00,120780,76.15384615384615384600
136360,Анапа,Москва,2017-02-05T10:05:00Z,Boeing 737-300,100.0,97,1455400.00,118340,74.61538461538461538500
136204,Анапа,Москва,2017-02-23T10:05:00Z,Boeing 737-300,100.0,107,1457800.00,130540,82.30769230769230769200
136383,Анапа,Москва,2017-01-25T10:05:00Z,Boeing 737-300,100.0,106,1493200.00,129320,81.53846153846153846200
136202,Анапа,Москва,2017-01-05T10:05:00Z,Boeing 737-300,100.0,100,1495600.00,122000,76.92307692307692307700
136486,Анапа,Москва,2017-02-02T10:05:00Z,Boeing 737-300,100.0,107,1505400.00,130540,82.30769230769230769200
136345,Анапа,Москва,2017-01-24T10:05:00Z,Boeing 737-300,100.0,108,1517600.00,131760,83.07692307692307692300
136282,Анапа,Москва,2017-01-16T10:05:00Z,Boeing 737-300,100.0,106,1518800.00,129320,81.53846153846153846200
136185,Анапа,Москва,2017-01-14T10:05:00Z,Boeing 737-300,100.0,104,1520000.00,126880,80.00000000000000000000
136485,Анапа,Москва,2017-01-27T10:05:00Z,Boeing 737-300,100.0,106,1520000.00,129320,81.53846153846153846200
136366,Анапа,Москва,2017-01-11T10:05:00Z,Boeing 737-300,100.0,103,1527400.00,125660,79.23076923076923076900
136420,Анапа,Москва,2017-01-01T10:05:00Z,Boeing 737-300,100.0,104,1542000.00,126880,80.00000000000000000000
136320,Анапа,Москва,2017-02-19T10:05:00Z,Boeing 737-300,100.0,106,1544400.00,129320,81.53846153846153846200
136351,Анапа,Москва,2017-02-26T10:05:00Z,Boeing 737-300,100.0,105,1555400.00,128100,80.76923076923076923100
136130,Анапа,Москва,2017-02-13T10:05:00Z,Boeing 737-300,100.0,107,1556600.00,130540,82.30769230769230769200
136266,Анапа,Москва,2017-02-27T10:05:00Z,Boeing 737-300,100.0,108,1566400.00,131760,83.07692307692307692300
136322,Анапа,Москва,2017-02-06T10:05:00Z,Boeing 737-300,100.0,108,1567600.00,131760,83.07692307692307692300
136165,Анапа,Москва,2017-02-22T10:05:00Z,Boeing 737-300,100.0,110,1567600.00,134200,84.61538461538461538500
136458,Анапа,Москва,2017-01-02T10:05:00Z,Boeing 737-300,100.0,110,1568800.00,134200,84.61538461538461538500
136411,Анапа,Москва,2017-02-04T10:05:00Z,Boeing 737-300,100.0,110,1590800.00,134200,84.61538461538461538500
136452,Анапа,Москва,2017-02-17T10:05:00Z,Boeing 737-300,100.0,109,1603000.00,132980,83.84615384615384615400
136146,Анапа,Москва,2017-02-09T10:05:00Z,Boeing 737-300,100.0,109,1604200.00,132980,83.84615384615384615400
136120,Анапа,Москва,2017-02-24T10:05:00Z,Boeing 737-300,100.0,109,1605400.00,132980,83.84615384615384615400
136269,Анапа,Москва,2017-02-11T10:05:00Z,Boeing 737-300,100.0,109,1605400.00,132980,83.84615384615384615400
136209,Анапа,Москва,2017-01-06T10:05:00Z,Boeing 737-300,100.0,112,1615200.00,136640,86.15384615384615384600
136172,Анапа,Москва,2017-01-15T10:05:00Z,Boeing 737-300,100.0,110,1617600.00,134200,84.61538461538461538500
136270,Анапа,Москва,2017-02-12T10:05:00Z,Boeing 737-300,100.0,111,1628600.00,135420,85.38461538461538461500
